first_name,last_name,date_of_birth,organization,username,password,role,vip,sas,tb,maze
Maahin,Haque,fefew4,all,mxh6331,doja,patient,False,False,False,False
MonkeyD,Luffy,dsagwesgwrf,all,joyboy,nika,patient,False,False,False,False
Doja,Cat,3rq3fw43g,all,dcat,bae,patient,False,False,False,False
dummy,l,3r2fweds,all,testdum,asd,patient,False,False,False,False
dummy3,dsa,gver,all,testdummy,asd,patient,False,False,False,False
Dummy23erety,qw,asfsdgerd,all,ty,asd,patient,False,False,False,False
qdwf3few,fewfew,eewqvrwa,rgwve f,vdefwv,fewvrb,vwe q br,False,False,False,False
2134t5ryu,qwerthyjjkl,123r4rty,all,123,asd,patient,False,False,False,False
Kid,Cudi,dsahfjwied,all,mr.rager,scott,patient,False,False,False,False
Central,Cee,dqewfr,all,dojacat,asd,clinician,False,False,False,False
Central ,Cee,dsafghtyrtgrew,all,dojacat1,asd,physician,False,False,False,False
Maahin ,Haque,04/20/1999,all,tung,jess,patient,False,False,False,False
